date,prec,et,temp,tm
2009-08-12,0,1.56449686,28.91618529,28.87381256
2009-08-13,1.23,1.985398698,29.25449566,28.87381256
2009-08-14,11.42,1.460877406,28.66653625,28.87381256
2009-08-15,0.04,1.535695222,29.89884272,28.87381256
2009-08-16,4.38,1.49322723,30.07331801,28.87381256
2009-08-17,3.29,1.50627165,28.08649132,28.87381256
2009-08-18,0.31,1.510190932,28.83524629,28.87381256
2009-08-19,1.52,1.699309342,28.97523205,28.87381256
2009-08-20,0.46,1.34326121,28.37282086,28.87381256
2009-08-21,4.4,1.371670698,28.30548548,28.87381256
2009-08-22,0.05,1.086878141,29.98002952,28.87381256
2009-08-23,5.93,1.615195171,28.88696476,28.87381256
2009-08-24,16.49,0.879867558,28.86885802,28.87381256
2009-08-25,13.82,1.638312748,29.15043844,28.87381256
2009-08-26,1.88,1.531646297,28.97045039,28.87381256
2009-08-27,0,1.619268421,29.24290548,28.87381256
2009-08-28,0,1.815653127,30.33207932,28.87381256
2009-08-29,0.04,1.623711877,29.70207722,28.87381256
2009-08-30,3.24,1.620019076,29.62409585,28.87381256
2009-08-31,12.87,1.990781805,28.83765032,28.87381256
2009-09-01,0,1.900407034,31.31325094,28.87381256
2009-09-02,0.01,1.816768772,31.51189285,28.87381256
2009-09-03,0.07,1.758407835,31.48003887,28.87381256
2009-09-04,2.32,1.664025289,29.63284739,28.87381256
2009-09-05,4.01,1.443786885,29.88937772,28.87381256
2009-09-06,0.01,1.646814049,29.55975408,28.87381256
2009-09-07,0.61,1.926553378,31.05536634,28.87381256
2009-09-08,0.21,1.462003364,30.09283229,28.87381256
2009-09-09,0.09,1.571345273,29.65714444,28.87381256
2009-09-10,2.12,1.721811558,29.89402563,28.87381256
2009-09-11,0.01,1.407120418,29.94062602,28.87381256
2009-09-12,0,1.981558477,29.69671511,28.87381256
2009-09-13,0.04,1.45564962,28.48127427,28.87381256
2009-09-14,1.92,2.030206099,29.58686584,28.87381256
2009-09-15,12.28,1.558987379,27.79346612,28.87381256
2009-09-16,13.68,0.867971115,28.24268995,28.87381256
2009-09-17,10.58,1.221284398,28.02422809,28.87381256
2009-09-18,18.18,1.707162937,28.65329712,28.87381256
2009-09-19,0.35,1.844483781,29.94041301,28.87381256
2009-09-20,0.01,1.686721721,30.45910104,28.87381256
2009-09-21,0.2,1.877734945,30.82734093,28.87381256
2009-09-22,0.45,1.578315296,29.90908693,28.87381256
2009-09-23,0,1.742484904,30.29532587,28.87381256
2009-09-24,0,1.925497149,31.83916501,28.87381256
2009-09-25,0.02,1.817075306,31.24841437,28.87381256
2009-09-26,0.19,1.479151435,31.23439832,28.87381256
2009-09-27,0.02,1.76224946,30.96008903,28.87381256
2009-09-28,0,1.69040422,29.92695543,28.87381256
2009-09-29,0,1.633413994,29.11939042,28.87381256
2009-09-30,0,1.701666078,30.68050129,28.87381256
2009-10-01,0.19,1.930412791,30.74481347,28.87381256
2009-10-02,3.12,1.577236166,29.69008969,28.87381256
2009-10-03,7.15,1.568180808,30.07103654,28.87381256
2009-10-04,5.21,1.598622234,29.60617245,28.87381256
2009-10-05,0.06,1.328675292,29.18888283,28.87381256
2009-10-06,0,1.727242906,29.47807492,28.87381256
2009-10-07,0.88,1.393694642,29.43419988,28.87381256
2009-10-08,1.98,1.514741568,29.62705929,28.87381256
2009-10-09,0,1.687704913,29.9582419,28.87381256
2009-10-10,0.08,1.9000743,30.98821089,28.87381256
2009-10-11,2.18,1.544853075,29.84153516,28.87381256
2009-10-12,1.45,1.603350673,27.59818587,28.87381256
2009-10-13,9.53,1.384147885,27.89367999,28.87381256
2009-10-14,5.68,1.391796976,28.36431353,28.87381256
2009-10-15,10.07,1.479387318,27.11521804,28.87381256
2009-10-16,0,1.280826515,27.60078758,28.87381256
2009-10-17,1.23,1.404652778,28.89295402,28.87381256
2009-10-18,1.58,1.508914757,29.6534112,28.87381256
2009-10-19,3.49,1.736905214,28.55225767,28.87381256
2009-10-20,2.62,1.326588116,28.69393066,28.87381256
2009-10-21,0.14,1.218461585,28.26959649,28.87381256
2009-10-22,0.28,1.543380349,29.18694961,28.87381256
2009-10-23,0.07,1.608044485,29.61746008,28.87381256
2009-10-24,50.41,1.03488681,28.8530042,28.87381256
2009-10-25,1.06,1.521164082,29.15031791,28.87381256
2009-10-26,0,1.551936849,29.49256498,28.87381256
2009-10-27,2.09,1.700448388,30.36816426,28.87381256
2009-10-28,0.1,1.867671103,30.35349876,28.87381256
2009-10-29,0.52,1.711160415,29.81654268,28.87381256
2009-10-30,10.61,1.427382422,28.30282254,28.87381256
2009-10-31,1.6,1.246187325,28.65372568,28.87381256
2009-11-01,2.73,1.269236148,27.9231241,28.87381256
2009-11-02,17.91,1.421478446,27.994217,28.87381256
2009-11-03,7.09,1.397191814,28.63665887,28.87381256
2009-11-04,1.68,1.418046286,28.35938773,28.87381256
2009-11-05,12.48,1.442194349,28.05399991,28.87381256
2009-11-06,20.45,1.204919715,27.68016929,28.87381256
2009-11-07,1.34,1.334918121,28.30745504,28.87381256
2009-11-08,2.58,1.574214898,27.8996729,28.87381256
2009-11-09,0.69,1.395206646,29.48092056,28.87381256
2009-11-10,10.73,1.745434115,30.7071764,28.87381256
2009-11-11,6.47,1.667146685,29.79207973,28.87381256
2009-11-12,22.08,1.485713885,29.89803781,28.87381256
2009-11-13,3.85,1.410285806,28.3290971,28.87381256
2009-11-14,0.72,1.330206973,28.64020776,28.87381256
2009-11-15,0.2,1.585447728,29.77764503,28.87381256
2009-11-16,3.27,1.618849611,30.2770578,28.87381256
2009-11-17,8.58,1.498806466,28.88584184,28.87381256
2009-11-18,4.26,1.470687147,28.79972286,28.87381256
2009-11-19,0.03,1.450295507,28.45570776,28.87381256
2009-11-20,0.34,1.305221716,31.08187322,28.87381256
2009-11-21,0.17,1.51188502,30.41223412,28.87381256
2009-11-22,0.98,1.39867716,29.95365096,28.87381256
2009-11-23,0.01,1.409399455,29.75333855,28.87381256
2009-11-24,1.68,1.707510182,30.45094205,28.87381256
2009-11-25,0.08,1.557062591,30.48972106,28.87381256
2009-11-26,0.28,1.34983207,30.14563848,28.87381256
2009-11-27,3.48,1.378954285,29.8900424,28.87381256
2009-11-28,2.86,1.339996606,28.83684115,28.87381256
2009-11-29,0.4,1.237564858,28.92765682,28.87381256
2009-11-30,0.05,1.172290491,29.26045737,28.87381256
2009-12-01,1.8,1.243713145,30.15584564,28.87381256
2009-12-02,0.01,1.718326061,31.60634232,28.87381256
2009-12-03,0,1.661855736,31.16723744,28.87381256
2009-12-04,0.25,1.443498613,31.47818936,28.87381256
