date,Qsim,Quz,Qlz,SP,SM,UZ,LZ,WC
'2009-08-26',19.393,0.000,19.124,0.000,99.248,0.000,13.735,0.000
'2009-08-27',18.421,0.000,17.730,0.000,98.010,0.000,12.734,0.000
'2009-08-28',17.079,0.000,16.437,0.000,96.436,0.000,11.805,0.000
'2009-08-29',15.843,0.000,15.257,0.000,95.172,0.000,10.958,0.000
'2009-08-30',15.403,0.000,15.547,0.000,95.327,0.000,11.166,0.000
'2009-08-31',17.791,0.000,20.000,0.000,99.512,0.000,14.364,0.000
'2009-09-01',19.265,0.000,18.542,0.000,97.644,0.000,13.317,0.000
'2009-09-02',17.863,0.000,17.195,0.000,95.858,0.000,12.350,0.000
'2009-09-03',16.579,0.000,15.972,0.000,94.194,0.000,11.471,0.000
'2009-09-04',15.881,0.000,15.791,0.000,93.944,0.000,11.341,0.000
'2009-09-05',16.063,0.000,16.331,0.000,94.580,0.000,11.729,0.000
'2009-09-06',15.733,0.000,15.145,0.000,93.333,0.000,10.877,0.000
'2009-09-07',14.716,0.000,14.295,0.000,91.878,0.000,10.266,0.000
'2009-09-08',13.812,0.000,13.337,0.000,90.819,0.000,9.579,0.000
'2009-09-09',12.865,0.000,12.401,0.000,89.700,0.000,8.906,0.000
'2009-09-10',12.356,0.000,12.312,0.000,89.403,0.000,8.842,0.000
'2009-09-11',11.861,0.000,11.418,0.000,88.347,0.000,8.201,0.000
'2009-09-12',10.999,0.000,10.586,0.000,86.915,0.000,7.603,0.000
'2009-09-13',10.204,0.000,9.829,0.000,86.062,0.000,7.059,0.000
'2009-09-14',9.810,0.000,9.792,0.000,85.603,0.000,7.033,0.000
'2009-09-15',11.600,0.000,13.380,0.000,90.885,0.000,9.610,0.000
'2009-09-16',15.609,0.000,17.804,0.000,96.693,0.000,12.787,0.000
'2009-09-17',19.531,0.000,21.231,0.000,100.407,0.000,15.248,0.000
'2009-09-18',35.716,23.681,26.297,0.000,106.388,0.319,18.887,0.000
'2009-09-19',37.383,0.000,24.981,0.000,104.856,0.000,17.941,0.000
'2009-09-20',24.066,0.000,23.165,0.000,103.271,0.000,16.637,0.000
'2009-09-21',22.366,0.000,21.578,0.000,101.530,0.000,15.498,0.000
'2009-09-22',20.897,0.000,20.227,0.000,100.358,0.000,14.527,0.000
'2009-09-23',19.484,0.000,18.752,0.000,98.818,0.000,13.468,0.000
'2009-09-24',18.064,0.000,17.385,0.000,96.833,0.000,12.486,0.000
'2009-09-25',16.751,0.000,16.127,0.000,95.115,0.000,11.583,0.000
'2009-09-26',15.576,0.000,15.034,0.000,93.820,0.000,10.797,0.000
'2009-09-27',14.486,0.000,13.946,0.000,92.257,0.000,10.016,0.000
'2009-09-28',13.434,0.000,12.930,0.000,90.944,0.000,9.286,0.000
'2009-09-29',12.455,0.000,11.987,0.000,89.819,0.000,8.609,0.000
'2009-09-30',11.547,0.000,11.113,0.000,88.411,0.000,7.982,0.000
'2009-10-01',10.741,0.000,10.374,0.000,86.918,0.000,7.451,0.000
'2009-10-02',10.561,0.000,10.745,0.000,87.324,0.000,7.717,0.000
'2009-10-03',11.663,0.000,12.568,0.000,89.627,0.000,9.026,0.000
'2009-10-04',13.114,0.000,13.652,0.000,90.924,0.000,9.805,0.000
'2009-10-05',13.162,0.000,12.680,0.000,90.028,0.000,9.107,0.000
'2009-10-06',12.214,0.000,11.756,0.000,88.793,0.000,8.443,0.000
'2009-10-07',11.491,0.000,11.230,0.000,88.234,0.000,8.066,0.000
'2009-10-08',11.189,0.000,11.149,0.000,88.103,0.000,8.007,0.000
'2009-10-09',10.739,0.000,10.336,0.000,86.846,0.000,7.423,0.000
'2009-10-10',9.971,0.000,9.611,0.000,85.311,0.000,6.903,0.000
'2009-10-11',9.640,0.000,9.669,0.000,85.302,0.000,6.944,0.000
'2009-10-12',9.568,0.000,9.469,0.000,85.209,0.000,6.801,0.000
'2009-10-13',10.788,0.000,12.087,0.000,89.231,0.000,8.681,0.000
'2009-10-14',12.732,0.000,13.367,0.000,91.081,0.000,9.600,0.000
'2009-10-15',14.887,0.000,16.384,0.000,94.993,0.000,11.767,0.000
'2009-10-16',15.783,0.000,15.190,0.000,94.266,0.000,10.910,0.000
'2009-10-17',14.895,0.000,14.605,0.000,93.837,0.000,10.489,0.000
'2009-10-18',14.403,0.000,14.205,0.000,93.385,0.000,10.202,0.000
'2009-10-19',14.416,0.000,14.624,0.000,93.810,0.000,10.503,0.000
'2009-10-20',14.641,0.000,14.659,0.000,94.084,0.000,10.528,0.000
'2009-10-21',14.150,0.000,13.650,0.000,93.381,0.000,9.803,0.000
'2009-10-22',13.207,0.000,12.771,0.000,92.404,0.000,9.172,0.000
'2009-10-23',12.317,0.000,11.869,0.000,91.233,0.000,8.524,0.000
'2009-10-24',89.752,148.821,17.617,0.000,113.761,2.005,12.653,0.000
'2009-10-25',92.438,0.000,19.575,0.000,112.753,0.000,14.059,0.000
'2009-10-26',18.856,0.000,18.148,0.000,111.360,0.000,13.034,0.000
'2009-10-27',18.105,0.000,18.062,0.000,110.326,0.000,12.972,0.000
'2009-10-28',17.428,0.000,16.803,0.000,108.530,0.000,12.068,0.000
'2009-10-29',16.333,0.000,15.871,0.000,107.162,0.000,11.398,0.000
'2009-10-30',18.218,0.000,20.529,0.000,109.786,0.000,14.744,0.000
'2009-10-31',20.238,0.000,19.952,0.000,109.334,0.000,14.330,0.000
'2009-11-01',20.004,0.000,20.055,0.000,109.351,0.000,14.404,0.000
'2009-11-02',42.774,39.936,25.207,0.000,114.208,0.538,18.104,0.000
'2009-11-03',46.667,0.000,28.475,0.000,115.114,0.000,20.451,0.000
'2009-11-04',27.964,0.000,27.461,0.000,114.477,0.000,19.723,0.000
'2009-11-05',36.415,13.157,32.073,0.000,116.962,0.177,23.035,0.000
'2009-11-06',79.585,77.063,36.349,0.000,121.491,1.038,26.106,0.000
'2009-11-07',74.397,0.000,35.982,0.000,120.702,0.000,25.842,0.000
'2009-11-08',35.563,0.000,35.151,0.000,120.102,0.000,25.246,0.000
'2009-11-09',34.099,0.000,33.063,0.000,118.932,0.000,23.746,0.000
'2009-11-10',38.664,6.912,37.267,0.000,119.655,0.093,26.765,0.000
'2009-11-11',41.613,0.000,39.088,0.000,119.555,0.000,28.073,0.000
'2009-11-12',88.063,93.435,42.852,0.000,123.379,1.259,30.776,0.000
'2009-11-13',89.860,0.000,44.147,0.000,123.001,0.000,31.706,0.000
'2009-11-14',42.787,0.000,41.448,0.000,121.996,0.000,29.768,0.000
'2009-11-15',39.997,0.000,38.568,0.000,120.442,0.000,27.700,0.000
'2009-11-16',38.291,0.000,38.019,0.000,119.490,0.000,27.305,0.000
'2009-11-17',39.566,0.000,41.089,0.000,120.248,0.000,29.510,0.000
'2009-11-18',41.060,0.000,41.031,0.000,119.968,0.000,29.468,0.000
'2009-11-19',39.534,0.000,38.060,0.000,118.779,0.000,27.335,0.000
'2009-11-20',36.778,0.000,35.515,0.000,117.370,0.000,25.507,0.000
'2009-11-21',34.267,0.000,33.038,0.000,115.829,0.000,23.728,0.000
'2009-11-22',32.140,0.000,31.256,0.000,114.728,0.000,22.448,0.000
'2009-11-23',30.111,0.000,28.984,0.000,113.399,0.000,20.817,0.000
'2009-11-24',28.439,0.000,27.902,0.000,112.155,0.000,20.039,0.000
'2009-11-25',26.901,0.000,25.916,0.000,110.606,0.000,18.613,0.000
'2009-11-26',25.046,0.000,24.190,0.000,109.403,0.000,17.374,0.000
'2009-11-27',24.303,0.000,24.414,0.000,109.274,0.000,17.535,0.000
'2009-11-28',24.339,0.000,24.264,0.000,109.145,0.000,17.427,0.000
'2009-11-29',23.488,0.000,22.723,0.000,108.281,0.000,16.320,0.000
'2009-11-30',21.902,0.000,21.094,0.000,107.318,0.000,15.150,0.000
'2009-12-01',20.818,0.000,20.546,0.000,106.779,0.000,14.756,0.000
'2009-12-02',19.794,0.000,19.054,0.000,104.913,0.000,13.685,0.000
'2009-12-03',18.354,0.000,17.665,0.000,103.218,0.000,12.687,0.000
'2009-12-04',17.080,0.000,16.504,0.000,101.814,0.000,11.853,0.000
'2009-12-05',15.933,0.000,15.371,0.000,99.882,0.000,11.039,0.000
'2009-12-06',15.360,0.000,15.351,0.000,99.511,0.000,11.025,0.000
'2009-12-07',14.811,0.000,14.279,0.000,98.491,0.000,10.255,0.000
'2009-12-08',14.119,0.000,13.961,0.000,97.793,0.000,10.027,0.000
'2009-12-09',13.462,0.000,12.970,0.000,96.382,0.000,9.315,0.000
'2009-12-10',12.498,0.000,12.034,0.000,95.142,0.000,8.643,0.000
'2009-12-11',11.679,0.000,11.330,0.000,94.265,0.000,8.137,0.000
'2009-12-12',10.937,0.000,10.550,0.000,93.198,0.000,7.577,0.000
