date,Qsim,Quz,Qlz,SP,SM,UZ,LZ,WC
'2009-11-08',44.145,0.000,43.849,0.000,101.271,0.000,29.018,0.000
'2009-11-09',41.059,0.000,40.865,0.000,100.311,0.000,27.044,0.000
'2009-11-10',45.508,2.653,43.178,0.000,101.193,0.997,28.575,0.000
'2009-11-11',45.658,0.336,45.310,0.000,101.281,0.126,29.985,0.000
'2009-11-12',61.896,15.755,47.274,0.000,105.073,5.919,31.285,0.000
'2009-11-13',58.411,9.006,49.083,0.000,104.894,3.383,32.482,0.000
'2009-11-14',50.938,0.000,50.439,0.000,104.076,0.000,33.380,0.000
'2009-11-15',46.862,0.000,46.613,0.000,102.755,0.000,30.847,0.000
'2009-11-16',45.276,0.000,45.183,0.000,102.005,0.000,29.901,0.000
'2009-11-17',47.474,0.476,47.157,0.000,102.829,0.179,31.208,0.000
'2009-11-18',46.680,0.000,46.613,0.000,102.688,0.000,30.848,0.000
'2009-11-19',43.206,0.000,42.969,0.000,101.694,0.000,28.436,0.000
'2009-11-20',40.025,0.000,39.820,0.000,100.473,0.000,26.352,0.000
'2009-11-21',36.999,0.000,36.802,0.000,99.145,0.000,24.355,0.000
'2009-11-22',34.697,0.000,34.550,0.000,98.208,0.000,22.865,0.000
'2009-11-23',32.017,0.000,31.840,0.000,97.070,0.000,21.071,0.000
'2009-11-24',30.502,0.000,30.408,0.000,95.997,0.000,20.124,0.000
'2009-11-25',28.220,0.000,28.068,0.000,94.659,0.000,18.575,0.000
'2009-11-26',26.167,0.000,26.034,0.000,93.623,0.000,17.229,0.000
'2009-11-27',26.106,0.000,26.111,0.000,93.490,0.000,17.280,0.000
'2009-11-28',25.820,0.000,25.800,0.000,93.376,0.000,17.074,0.000
'2009-11-29',24.131,0.000,24.015,0.000,92.645,0.000,15.893,0.000
'2009-11-30',22.278,0.000,22.157,0.000,91.827,0.000,14.663,0.000
'2009-12-01',21.531,0.000,21.488,0.000,91.343,0.000,14.220,0.000
'2009-12-02',19.914,0.000,19.804,0.000,89.715,0.000,13.106,0.000
'2009-12-03',18.349,0.000,18.247,0.000,88.242,0.000,12.076,0.000
'2009-12-04',17.039,0.000,16.954,0.000,87.014,0.000,11.220,0.000
'2009-12-05',15.781,0.000,15.699,0.000,85.318,0.000,10.390,0.000
'2009-12-06',15.722,0.000,15.724,0.000,84.951,0.000,10.406,0.000
'2009-12-07',14.619,0.000,14.542,0.000,84.078,0.000,9.623,0.000
'2009-12-08',14.253,0.000,14.233,0.000,83.438,0.000,9.419,0.000
'2009-12-09',13.217,0.000,13.146,0.000,82.225,0.000,8.700,0.000
'2009-12-10',12.189,0.000,12.123,0.000,81.159,0.000,8.023,0.000
'2009-12-11',11.423,0.000,11.375,0.000,80.406,0.000,7.528,0.000
'2009-12-12',10.591,0.000,10.536,0.000,79.495,0.000,6.973,0.000
