id,mean,std,min,5%,25%,median,75%,95%,max,t_beg,t_end,nyr,q1.5,q2,q5,q10,q25,q50,q100,q200,q500,q1000
212,107.5150799188641,245.451187341364,0.24100000000000002,6.527,9.699,24.9275,94.72200000000001,463.5255999999997,4294.023,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,1396.8107610635348,1770.9336562130795,2691.639593699263,3301.2270375821618,4071.442388913188,4642.832135662909,4642.832135662909,5210.002830214162,5775.104014172696,6520.647722299202
234,152.56171561866125,139.64680995664727,4.032,33.241,59.18075,98.938,193.97725,471.4789499999998,1197.025,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,569.6788783239183,636.7916816127123,801.9544056011379,911.3065001642858,1049.4731615316061,1151.9730838085347,1151.9730838085347,1253.71616274887,1355.0879982846614,1488.8288863067428
541,1178.8931262170386,602.089763870028,47.161,416.88415,768.9910000000001,1110.23,1519.3827499999998,1955.1393499999995,8344.521,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,2853.5888939962633,3462.259015904457,4960.179091037276,5951.932519101592,7205.0156045482245,8134.624220648094,8134.624220648094,9057.368752648132,9976.746344850872,11189.690501962286
461,1208.9990555780935,654.309738735815,87.521,398.917,748.44325,1069.413,1616.1329999999998,2320.552,5725.7480000000005,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,2879.463012109963,3321.8048403615444,4410.395656240194,5131.1374977641835,6041.796725179326,6717.375762170501,6717.375762170501,7387.966429598746,8056.1102243254345,8937.599091138356
381,1474.0642573022312,622.4561662092599,140.915,646.2523500000001,1006.0145,1322.701,1906.344,2686.8248999999987,4719.747,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,2877.0779952093817,3167.205724939997,3881.2019193872516,4353.929526970155,4951.222112327748,5394.327872935057,5394.327872935057,5834.161810160727,6272.390867231499,6850.550895013885
253,1271.3009905172416,528.8874332256041,0.29600000000000004,610.2999,917.4797500000001,1188.24,1493.5095000000001,2390.1237,4062.468,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,2648.203340078825,2980.0161158113588,3796.598037718598,4337.24632315869,5020.356865043065,5527.12728821738,5527.12728821738,6030.155798135157,6531.348841517525,7192.577893336174
177,1389.833982454361,551.1338575336761,0.132,674.9855500000001,1016.25125,1308.663,1632.9644999999998,2552.9767499999966,4734.927,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,2790.6741859209155,3119.467675103705,3928.619217610584,4464.347945348994,5141.242613035798,5643.401745643858,5643.401745643858,6141.853014041082,6638.485517488334,7293.6978028396625
132,1614.061044168357,767.3685668265116,1.6869999999999998,758.7012500000001,1143.4962500000001,1469.369,1854.06275,3039.29965,10308.865,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,4454.641413255649,5200.598944755544,7036.379479090281,8251.825929354849,9787.545741350204,10926.83042703991,10926.83042703991,12057.702813444961,13184.44883647271,14670.976261951504
81,1771.816920638945,955.1104529243648,0.157,756.71665,1185.221,1595.637,2085.92175,3222.23875,8332.039,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,5315.8001092921,6152.8477892040855,8212.798620456859,9576.665312982313,11299.914494528733,12578.319179307975,12578.319179307975,13847.284324567068,15111.619229168222,16779.669057850377
42,1649.8190455882354,980.058890735881,0.141,667.34295,1074.65125,1473.2545,1943.1330000000003,2967.84665,8563.457,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,5426.270882876159,6341.303203133033,8593.172044026904,10084.105158271796,11967.90310050728,13365.412027434606,13365.412027434606,14752.60196781366,16134.730285116442,17958.186154683637
1,1987.6724888945237,697.370269806585,0.15,1007.948,1513.884,1930.792,2435.2135,2972.44055,6622.602,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,4113.63290484354,4543.098303676379,5600.000588398122,6299.761864986164,7183.912092986337,7839.825239864919,7839.825239864919,8490.89522702619,9139.589569169173,9995.418576452672
